lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-2.5,-3,California,Hawaii,5,,,,-1.97,1.79,,,,,,,,,-5.54,,,-1.6,,,,,,2.54,,,,,,,1,1.6298480684,3.01,-2,2.599491893,,-0.092,-6.4131,11.513828735,,,,,-2.6,-0.82017336,,,,-0.46,0.36,5,,,0.0783899976,3.3406711758,0.134,0.5534297675,0.5019205029,-3
3,3,LSU,Houston,3,,,,-3.64,-11.69,,,,,,,,,-5.02,,,2.2,,,,,,-3.1,,,,,,,1,-3.761634076,0.44,-4.24,-2.209484019,,-0.184,-6.6669,-9.879052956,,,,,-8.3,-0.73213418,,,,-5.796,-5.88,-0.5,,,-3.459251131,3.8823166964,-3.700817038,0.3894250774,0.4164881561,2
-6.5,-5.5,Tennessee,Illinois,1,,,,-1.2,-1.58,,,,,,,,,-9.59,,,-4,,,,,,-4.41,,,,,,,1,0.637329974,-6.18,-4.52,-3.620166489,,0.048,-2.3412,-2.09486849,,,,,-3.2,-0.553323728,,,,-6.287,-4.16,3,,,-2.900189782,3.1776833593,-3.410083245,0.545207753,0.4291803428,-5.5
-3,-4,Troy St.,Jacksonville St.,-0.5,-3.39,,,0.48,-5.52,-2.716,,,,,,,,-3.17,,,-3.6,,,,,,-1.47,,,,,,,1,-2.760239101,-0.21,-5.32,-1.569283019,,-0.064,-5.2806,3.6103549513,,,,,-2.7,-0.292777798,,,,-8.212,-2.59,0.5,,,-2.671784562,2.3577096564,-2.708,0.5232335472,0.4341422939,-4
7,7,Coastal Carolina,Louisiana Tech,5.5,,,,11.06,6.31,,,,,,,,,4.32,,,5.1,,,,,,13.48,,,,,,,1,13.52672277,13.36,11.23,2.038003874,,-0.039,6.2467,25.506759124,,,,,9.5,0.0140948308,,,,0.917,5.15,16.5,,,7.7624641653,5.0019546906,6.27835,0.513099333,0.6789305314,7
9.5,8.5,Toledo,Louisville,3,,,,1.04,7.66,,,,,,,,,12.87,,,10.7,,,,,,6.12,,,,,,,1,5.439521435,-1.19,0.54,2.712957008,,0.201,8.652,12.967731667,,,,,6.9,1.9057359992,,,,6.251,5.14,8.5,,,5.2835299027,3.9882813629,5.7797607175,0.4444378965,0.6261225623,8
3,3,New Mexico,Minnesota,-4.5,,,,0.18,14.68,,,,,,,,,11.41,,,2.2,,,,,,2.95,,,,,,,1,-0.340259401,0.69,3.25,0.608899505,,0.082,5.6233,7.909524405,,,,,8.7,0.2740516076,,,,5.207,2.03,2.5,,,3.4544337565,4.7952247755,2.35,0.5078229044,0.5822133355,3
17.5,17,Tulane,Mississippi,12,,,,,13.28,,,,,,,15.7,,19.2,,,18,,,,,,17.99,,,14.99,,,,0,18.309868606,15.95,2.81,13.432019142,,3.042,19.4353,20.024422125,,,,,19.5,3.4432644352,,,,15.682,14.9,18,,,14.836540456,5.0179524264,15.7,0.4628837545,0.8127173319,17
3,3,Wake Forest,Mississippi St.,-5,,,,-5.61,3.96,,,,,,,,,4.03,,,3.4,,,,,,1.72,,,,,,,1,1.435269211,0.26,4.98,1.638889044,,0.079,2.4298,9.835581181,,,,,4.8,0.3714136976,,,,5.137,-0.49,4.5,,,1.7043723909,3.2850959306,2.0749,0.4774490295,0.5417089021,3
7,6.5,Virginia,Missouri,-3,,,,4.02,10.52,,,,,,,,,9.18,,,6.9,,,,,,5.59,,,,,,,1,4.636702493,2.87,4.39,8.417849229,,0.021,1.8475,7.8483489974,,,,,7.2,0.8950133056,,,,11.985,5.16,7.5,,,5.4523782326,3.8725027535,5.375,0.4818348863,0.6302213554,6.5
5.5,5.5,Memphis,NC St.,-1,,,,1.74,2.78,,,,,,,,,-0.02,,,3.3,,,,,,3.05,,,,,,,1,1.237936193,-4.48,2.91,4.278950925,,0.155,-0.3957,7.144250448,,,,,2.8,0.6041588304,,,,8.683,1.86,4,,,1.9311991949,2.8697446372,2.32,0.4379507119,0.5474638538,4.5
