lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
3,3.5,NC St.,Duke,-6,,,,1.82,,8.82,1.949,-2.1,,3.6,2.3,2.9,-1.3,,-0.13,5.5,,1.6,-0.4,1.85,2.3,1.77,0.55,-1.79,-7,0.0187,1.38,,,,0,-1.42,-1.84,1.284460665,,-4.78,4.2615,,,,,-12.85,-1.7,,,-5.95,-12,-1.44,0.587,-1.75,7.18,-0.023616343,4.1885160558,0.55,0.4392647086,0.4994282545,2.5
-7.5,-7,BYU,East Carolina,-4.5,,,,-13,,-11.88,-15.166,-15.97,,-17.5,-12.7,-15.2,-12.8,,-12.94,2,,-6.7,-8.8,1.16,2.43,-0.33,0.77,-12.14,-16,-5.8793,-12.43,,,,0,-4.15,-8.2,-11.34774598,,-5.68,-15.5541,,,,,1.2,-9.2,,,-13.3,-10,-7.68,-12.241,-10.21,-19.07,-9.18206503,6.1667421256,-11.34774598,0.4630024503,0.2955256101,-7
-2.5,-2.5,Louisiana-Lafayette,Eastern Mich.,-10,,,,-7.95,,-10.71,-5.759,-6.52,,-10.6,-9.6,-11.9,-6.8,,-9.91,-11,,-3.3,-2.5,-3.9,-4.17,-5.23,-4.23,-8.56,-9,-1.8045,-9.02,,,,0,-4.69,1.67,-10.7994311,,-8.13,-14.3042,,,,,-11.9,-8,,,-7.7,-14,-10.67,-7.42,-5.48,-8.92,-7.539610033,3.4398819428,-8,0.4130242178,0.3218870256,-3.5
4.5,6,Delaware,Florida Intl.,10,,,,2.86,,-7.66,4.467,4.25,,-2.4,0.01,-1.9,8.1,,6.83,3,,7.2,3.4,7.26,7.93,6.17,8.35,9.05,,6.2764,8.89,,,,0,1,9,-1.492954348,,8.82,1.7908,,,,,11.6,5.8,,,4.9,5,5.42,37.382,-1.8,-7.17,5.2288514266,7.591551959,5.61,0.4871348548,0.6164614455,6
43.5,46,Kent,Florida St.,29,,,,50.47,,32.11,34.936,42.07,,47.3,46,49.5,32.8,,38.99,13.5,,31,40.4,41.43,40.42,42.27,52.08,52.6,57,38.7323,39.03,,,,0,30.93,22.44,34.415562078,,45.8,42.8295,,,,,47.8,49.7,,,40.8205,39,38.86,40.392,34.75,42.88,40.098662487,9.0108672745,40.42,0.4044321306,0.9857445609,45.5
24,23.5,Temple,Georgia Tech,22,,,,28.59,,28.01,29.678,25.34,,31.4,30.7,34.1,22.1,,24.85,15,,24,28.4,27.52,26.05,28.45,33.97,26.04,24,19.0986,24.59,,,,0,16.9,17.38,21.995928276,,17.9,26.0771,,,,,35.2,24.8,,,31.5,7,28.24,31.122,22.75,35.88,26.170655402,5.3731989917,26.05,0.5456277805,0.9401504641,23.5
-3.5,-3,Fresno St.,Hawaii,-5,,,,-8.57,,2.06,0.884,-5.81,,-1.5,-2.6,-2.6,-5.9,,-8.6,-2.5,,-3.4,-4.5,-2.48,-2.49,0.93,-8.76,-8.37,-11,-2.7081,-5.46,,,,0,-5.37,-12.31,-4.122943843,,-4.05,-8.0179,,,,,-12.7,-9.6,,,-4.55,-7,-4.64,-5.52,-4.64,-7.87,-5.204998298,3.5865417167,-4.64,0.4617349921,0.3750064671,-3
5,5,Illinois,Indiana,2,,,,8.75,,0.74,0.272,10.77,,2.2,2.3,4.9,5.5,,7.83,12,,6.6,1.9,8.28,8.74,8.99,7.4,10.03,4,3.3044,10.38,,,,0,9.85,-12.38,1.826751769,,6.66,5.2307,,,,,-4.4,4.6,,,4.9,4,0.16,6.78,3.5,6.83,4.8619349021,4.8235471424,5.2307,0.4976237262,0.6148509059,5
12.5,13.5,West Va.,Kansas,6.5,,,,11.28,,4.72,5.861,6.83,,11.7,11,11.9,8.3,,7.14,2,,9.3,11.2,7.14,7.67,7.47,6.62,10.77,12,9.8061,10.14,,,,0,4.46,3.32,9.569714052,,11.9,12.6354,,,,,15.95,9.7,,,12.6,3,6.9,11.252,8.02,13.83,9.0752792137,3.1592410075,9.569714052,0.4233626531,0.7117707292,12.5
-7,-6.5,Arkansas St.,Kennesaw St.,-10,,,,3.67,,-7.25,-8.278,-3.96,,-3.4,-4.1,-2.6,-5.7,,-11.08,1.5,,-7,-7.1,-5.74,-5.15,-6.02,-8.87,-6.45,7,-3.7943,-5.69,,,,0,-1.09,-6.81,-1.904488068,,-0.02,-1.919,,,,,-9.2,-2.9,,,-4.2,-5,-10.28,-12.653,-4.65,-5.42,-4.880569335,4.1470198601,-5.42,0.5280083202,0.3834755418,-6.5
