lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linesag,linesagr,linesagpred,linesaggm,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
23.5,23.5,Old Dominion,Indiana,14,,,23.5,26.01,,28.3,25.5,25.13,28.002,34.5,31.7,35.2,21.4,17.07,25.12,23,,18,23.2,25.61,28,15.299,30.86,,,27,0,22.99,23.02,23.03,22.96,28.09,17.17,20.825303906,,17.57,23.993,,,,,35.05,23.2,,,28.924,3,23.53,,19.31,32.1,24.704665826,5.4700546773,23.993,0.5205975448,0.9286969487,23.5
11.5,9.5,Toledo,Kentucky,2,,,9.5,12.09,,-0.18,1.611,14.42,6.28,21.3,17.8,18.9,13.6,5.06,17.89,-5,,3.2,10,14.08,15,10.4206,13.62,,,8,0,12.15,12.17,12.17,12.14,0.39,8.24,10.324940855,,9.15,16.5821,,,,,24.3,12.2,,,11.3855,1,11.36,,11.65,31.3,11.302975453,7.1570335345,12.09,0.5302255206,0.7411742822,9.5
14.5,11.5,Rice,Louisiana-Lafayette,13.5,,,11.5,6.18,,20.87,14.944,6.64,10.726,8.7,9.8,9.7,13.2,13.52,10.1,16,,15.5,14,8.19,12,6.1351,10.87,,,13,0,20.84,20.87,20.87,20.82,7.53,13.44,8.657011409,,7.44,11.2607,,,,,19.25,13.8,,,17.29,6,11.41,,12.22,12.1,12.89636604,4.5035057536,12.22,0.5240857491,0.781921174,11.5
17.5,14.5,Florida Atlantic,Maryland,17,,,14.5,15.67,,12.41,16.611,19.95,18.356,27,21.9,24.4,17.1,14.41,21.81,4,,7,15.1,17.45,16,5.3573,20.5,,,13,0,16.12,16.15,16.16,16.1,10.93,14.47,12.07947415,,17.84,19.1123,,,,,28.75,16.1,,,20.9195,5,15.72,,19.63,39,17.260159261,6.4164938819,16.16,0.5466270876,0.8424633255,15
1.5,-2,Temple,Massachusetts,0.5,,,-2,-0.15,,-5.15,-1.167,1.95,-2.892,-2.4,-1.7,-0.6,-4.8,-0.94,-0.63,11,,-2.8,-2.2,-0.71,1,1.9584,3.53,,,-7,0,-2.12,-2.14,-2.14,-2.12,9.24,-6.99,-0.468107074,,0.98,1.6896,,,,,-7.5,-2.9,,,1.4,-2,1.23,,4.52,-10.9,-0.897688774,4.2347393012,-0.94,0.5190598951,0.4782934684,-2
-2.5,-2.5,Notre Dame,Miami (Fla.),-14.5,,,-2.5,-10.45,,-3.79,0.778,-3.41,-8.599,-6.8,-5.1,-6,-8.7,-8.7,-10.72,9,,-1.7,-4.5,-7.35,-16,-1.125,-7.69,,,-8,0,-3.2,-3.21,-3.21,-3.19,-4.97,-12.81,-10.256819,,-5.55,-9.1793,,,,,-2.9,-4.9,,,-0.9135,-5,-5.9,,-8.72,-11.9,-6.119017686,4.7229750296,-5.9,0.4379088865,0.3563929064,-3
35,34.5,New Mexico,Michigan,34.5,,,34.5,32.83,,33.62,29.667,25.84,23.193,45.5,43.6,46.4,33.7,17.04,34.98,8,,30,33.3,35.69,28,30.4101,32.52,,,40,0,39.51,39.59,39.6,39.47,22.17,42.4,21.764339064,,28.29,31.0669,,,,,27.8,42.9,,,40.3515,12,37.01,,32.01,43.1,33.309223973,8.4272636045,33.62,0.4803673087,0.9676706053,34.5
17.5,21,Western Mich.,Michigan St.,7,,,21,21.07,,20.5,17.722,16.26,12.021,30.6,26.8,27.6,10.2,9.67,17.18,1,,15.5,18.4,15.41,13,11.804,13.76,,,22,0,20.93,20.96,20.97,20.9,1.36,12.03,10.795406974,,11.42,11.8545,,,,,27.1,26.7,,,18.8545,3,16.03,,9.57,30.5,16.784897342,7.3826159793,16.26,0.4298392185,0.8303699585,21
18.5,17.5,Buffalo,Minnesota,12,18.65,,17.5,27.63,,6.44,14.944,23.26,18.684,27.8,25.3,26.6,21.6,14.02,26.33,9.5,,14,17,24.82,22,18.9446,28.39,,,17,0,21.28,21.31,21.32,21.26,15.69,16.81,19.752054719,,19.51,27.0652,,,,,39.05,20.9,,,24.1185,3,20.62,,17.12,31.2,20.886620964,6.3061250245,21.08,0.5572158005,0.8885048259,17.5
36.5,34.5,Georgia St.,Mississippi,27.5,,,35,44,,33.33,30.778,31.72,26.87,36.2,36.2,37.1,31.1,18.75,33.41,25,,24.5,36.7,38.71,37,22.7335,42.47,,,39,0,37.11,37.18,37.19,37.07,40.49,24.89,31.628578901,,29.1,34.0372,,,,,56.7,34.6,,,37.0475,6,35.44,,27.46,28.4,33.754707969,7.0633569715,34.6,0.487481057,0.9735852747,34.5
12.5,14.5,East Carolina,NC St.,10,15.88,,14,15.44,,17.46,14.944,13.77,6.426,14.9,14.2,14.9,10,4.26,10.09,0.01,,6.8,12.4,10.93,12,5.1815,7.65,,,15,0,16.08,16.11,16.11,16.07,8.64,4.81,4.734441281,,8.68,15.5951,,,,,11.75,13.9,,,13.2125,4,8.45,,11.19,10.4,11.332320591,4.3133462299,11.875,0.4454133146,0.7537569458,14.5
2,-3.5,TCU,North Carolina,-2.5,,,-3.5,-15.67,,-17.95,-3.389,-2.26,-10.67,-13.9,-10.7,-13.6,-4.2,-4.69,-5.66,0.01,,-3.4,-2.6,-3.99,-7,-2.1222,-7.84,,,-8,0,2.35,2.36,2.35,2.35,1.86,-17.38,-9.123296723,,-3.04,-2.8173,,,,,-8.8,-5.9,,,-6.664,-1,-9.18,,-2.94,-4.7,-5.697594192,5.5453567938,-4.69,0.4624925762,0.3678157806,-3.5
3,2,Texas,Ohio St.,13,,,2,10.38,,-0.57,2.722,5.86,4.747,5.4,4.9,5.5,12.3,8.97,10.1,6,,3.3,2.6,3.64,2,-0.7155,10.04,,,2,0,6.32,6.33,6.32,6.31,4.93,9.01,9.158414083,,6.6,9.7546,,,,,3.35,3.1,,,4.277,4,8.2,,9.23,8.5,6.1018146881,3.3574891917,6,0.5710199161,0.6460354287,2.5
1.5,1.5,California,Oregon St.,5,,,1.5,-7.65,,3.45,1.889,-3.43,-8.108,-10.7,-7.6,-11.7,-2.1,-4.32,-0.14,0.01,,3.4,1.9,-2.51,-10,-1.3116,-9.54,,,4,0,-2.72,-2.73,-2.73,-2.71,-6.96,9.4,-6.053998405,,1.18,-4.0157,,,,,-14.35,4.2,,,-1.183,1,-1.14,,2.51,-20,-3.050665669,6.1029958313,-2.71,0.4231578199,0.4290640683,1
45,43,Nevada,Penn St.,32.5,,,44,48.2,,52.35,35.162,30.94,34.766,51.4,50,53.3,35.3,18.95,36.36,27.5,,34,45.2,39.59,33,38.8907,38.54,,,39,0,54.26,54.38,54.38,54.21,41.81,46.12,33.385840408,,29.93,40.7215,,,,,49.9,47.2,,,43.0955,7,44.66,,32.76,47.7,41.413186869,9.0670864649,40.7215,0.4740922398,0.988044677,43
16.5,17.5,Ball St.,Purdue,7,,,17.5,10.16,,-3.94,7.167,13.32,5.323,20.7,18.4,18.9,8.7,3.69,15.61,1,,6.7,16,14.63,4,6.8374,9.65,,,18,0,12.77,12.78,12.79,12.75,-13.71,10.43,7.4848661272,,10.93,7.6585,,,,,9.4,17.6,,,9.9085,2,10.67,,9.85,-14.5,9.1045504608,7.8168699617,9.9085,0.363138221,0.6959890431,16.5
10.5,15.5,Ohio,Rutgers,-1.5,11.81,,15.5,8.66,,15.59,6.056,12.88,14.624,21.8,19,20.2,7,4.23,11.53,-10.5,,4.6,10.8,10.78,8,11.4603,7.98,,,12,0,10.66,10.67,10.67,10.64,-1.06,3.09,5.375322535,,7.07,5.1235,,,,,7.25,14.4,,,9.8105,-2,8.83,,7.39,27.3,9.5616561815,6.7626399353,10.22525,0.4009068211,0.709624483,14.5
-13.5,-9.5,UNLV,Sam Houston St.,-9.5,,,-10,-12.36,,4.96,-1.7,-8.48,-5.975,-17.1,-15.2,-17.6,-8,-5.97,-9.14,2.5,,-9.4,-13.6,-15.65,-13,-8.4965,-13.91,,,-10,0,-12.34,-12.09,-10.37,-14.72,-9.61,-2.52,-10.26391288,,-5.93,-18.1689,,,,,-15.3,-7.8,,,-11.3295,-1,-10.27,,-6.7,-21.5,-10.18668037,5.5563200637,-10.26391288,0.4882657715,0.2730741976,-9.5
10.5,13.5,Central Mich.,San Jose St.,12,19.77,,13.5,16.24,,11.35,13.556,8.79,19.038,13.7,14.1,15.7,11.2,12.55,11.07,13.5,,6.9,10.6,14.1,15,7.3458,13.24,,,15,0,12.66,12.68,12.68,12.64,10.65,10.12,12.770554581,,11.1,18.4166,,,,,26.95,10.2,,,13.825,3,11.1,,11.22,2.3,12.890609849,4.0931597994,12.67,0.489448645,0.7833051906,13.5
