lineopen,line,road,home,linehow,linedokter,linebihl,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
30.5,30.5,Massachusetts,Rutgers,28,,,,,,,,,,,,,35.77,,,32,,,,,,,,,,,,,0,,23.01,34.71,40.834904561,26.75,,,,32,,,,,,,25.49,,,30.951656062,5.6621993684,32,0.507710286,0.9663762445,30.5
33.5,34.5,Kent,South Carolina,21.5,,,,,,,,,,,,,35.15,,,26,,,,,,,,,,,,,0,,33.19,27.18,20.218176598,27.51,,,,37,,,,,,,27.53,,,28.364241844,5.7641643624,27.51,0.3965481671,0.952898392,34
12.5,12.5,Florida Intl.,South Florida,17,,,,,,,,,,,,,22.05,,,25,,,,,,,,,,,,,0,,17.84,21.86,16.447450054,17.6,,,,15.3,,,,,,,19.03,,,19.125272228,3.1790893556,17.84,0.6138611754,0.8803706212,14
3,3.5,Hawaii,Stanford,0.01,,,,,,,,,,,,,8.03,,,-1.5,,,,,,,7,,,,,,0,,-5.94,4.64,1.648488572,5.89,,,,6,,,,,,,-0.01,,,2.5758488572,4.4672119222,3.144244286,0.4840491225,0.5618357783,3.5
-21.5,-22.5,Miami (Fla.),Stanford,-20.5,,,,,,,,,,,,,-20.43,,,-26.5,,,,,,,,,,,,,0,,-32.72,-21.28,-22.12383322,-16.49,,,,-25.6,,,,,,,-23.81,,,-23.27264814,4.6426896188,-22.12383322,0.4866829115,0.0804605235,-22.5
6.5,7,North Carolina,TCU,12,,,,,,,,,,,,,12.43,,,14.5,,,,,,,21,,,,,,0,,14.68,18.92,17.641547699,12.1,,,,9,,,,,,,25.49,,,15.77615477,4.9746849367,14.59,0.6473234517,0.8276504921,8.5
30.5,30.5,Texas St.,Texas,24.5,,,,,,,,,,,,,27.68,,,25,,,,,,,,,,,,,0,,19.72,22.21,19.71717575,21.24,,,,33.1,,,,,,,28.21,,,24.597463972,4.466493518,24.5,0.3991917255,0.9313768275,29.5
38.5,38.5,Missouri St.,Texas A&M,27.5,,,,,,,,,,,,,33.34,,,34,,,,,,,,,,,,,0,,24.94,29.74,27.658647734,26.33,,,,44.3,,,,,,,32.63,,,31.159849748,5.8877761877,29.74,0.3770015561,0.9666724623,37.5
16.5,17.5,Sam Houston St.,Troy St.,15,,,,,,,,,,,,,16.28,,,24.5,,,,,,,,,,,,,0,,16.1,21.83,18.660678592,12.99,,,,19.1,,,,,,,15.29,,,17.750075399,3.6403268302,16.28,0.5043447355,0.8612106694,17.5
-11.5,-12.5,Oklahoma St.,Tulsa,0.5,,,,,,,,,,,,,-7.64,,,4,,,,,,,,,,,,,0,,10.59,1.94,2.929636983,-6.07,,,,-14.3,,,,,,,0.67,,,-0.820040335,7.3726324801,0.67,0.687907164,0.4813764936,-11.5
3,3.5,Memphis,UNLV,1,,,,,,,,,,,,,-0.38,,,-1.8,,,,,,,-1,,,,,,0,,1.53,3.68,3.976594934,-0.47,,,,3.4,,,,,,,-7.83,,,0.2106594934,3.4916890699,0.31,0.4429887574,0.5051508823,3
23.5,23.5,Fresno St.,USC,15,,,,,,,,,,,,,22.79,,,25,,,,,,,,,,,,,0,,16.09,22.56,18.263052649,18.67,,,,21.6,,,,,,,22.43,,,20.26700585,3.395492545,21.6,0.4439237733,0.8932043205,23.5
35.5,35.5,San Jose St.,USC,25,,,,,,,,,,,,,30.64,,,30.5,,,,,,,43,,,,,,0,,24.83,35.96,29.66210152,25.46,,,,38.5,,,,,,,33.99,,,31.754210152,6.1013062609,30.57,0.4366204212,0.9686097288,35
3,5.5,NC St.,Virginia,-1,,,,,,,,,,,,,0.45,,,2,,,,,,,4,,,,,,0,,9.26,9.22,4.387580864,2.29,,,,5.5,,,,,,,-1.37,,,3.4737580864,3.7699162002,3.145,0.4648735063,0.5839892208,5.5
22.5,22.5,Akron,Wake Forest,19.5,,,,,,,,,,,,,26.25,,,24,,,,,,,,,,,,,0,,13.58,26.02,23.052592362,18.55,,,,23,,,,,,,32.29,,,22.915843596,5.3352006201,23.052592362,0.5071224827,0.9136369509,22.5
21.5,21.5,Washington St.,Washington,11,,,,,,,,,,,,,16.25,,,15.5,,,,,,,,,,,,,0,,15.67,16.95,9.669922697,10.87,,,,20.7,,,,,,,5.09,,,13.522213633,4.7245892829,15.5,0.3652409711,0.7920249937,20.5
17.5,17.5,Coastal Carolina,West Va.,6,,,,,,,,,,,,,17.98,,,9.6,,,,,,,,,,,,,0,,6.43,11.36,13.238841401,13.35,,,,21,,,,,,,14.61,,,12.618760156,4.9583068033,13.238841401,0.4167047064,0.775183844,16.5
