lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
3.5,3,Baylor,TCU,9,,7.63,3,9.41,6.98,1.862,7.46,7.393,3.1,4.2,4.5,6.8,7.05,4.8,5,6.386848,3.2,4.6,6.81,6.51,7.16,7.18,10.76,7,3.4109,10.75,,,2.47,0,8.64,1.61,6.883829334,,11.67,3.8466,,,,,18.575,4.6,,,9.45,1,3.95,3.355,8.28,0.96,,,6.4011362456,3.3450133443,6.805,0.5589908011,0.6528692266,3.5
24,26,Kent,Toledo,20.5,,14.05,26,30.66,34.04,16.139,25.8,20.296,28.7,28.3,31.3,25.8,13.28,28.53,21,22.1648,24.5,26.4,27.57,30.06,26.43,31.03,26.86,29,24.1324,29.05,,,24.27,0,33.82,16.62,21.576631309,,22.34,28.1415,,,,,37.65,28.3,,,21,18,20.64,20.546,19.25,17.7,,,24.932798192,5.6772573939,25.8,0.4817896855,0.9297203686,26
10.5,9.5,Army,Tulane,16.5,,11.96,9.5,13.56,7.59,12.573,8.87,18.354,12.7,12.8,12.6,3,13.93,8.6,2.5,9.714817,7.6,11.3,13.09,11.55,16.19,13.55,11.13,5,11.2422,8.76,,,10.58,0,9.39,17.55,10.942625754,,8.9,6.3893,,,,,9.975,11.8,,,21.35,8,12.96,9.625,9.86,13.36,,,11.245945862,3.8649275422,11.2711,0.5302567031,0.7535667842,9.5
-21,-21.5,Memphis,UAB,-26,,-28.96,-21.5,-27.29,-20.29,-21.76,-20.27,-24.457,-21.4,-22.4,-24,-21.3,-12.74,-21.53,-11.5,-37.09731,-17.5,-22,-21.32,-19.9,-20.44,-29.44,-29.5,-34,-25.659,-23.76,,,-23.45,0,-27.82,-30.45,-27.22493478,,-19.89,-20.9193,,,,,-36.15,-23.8,,,-30.45,-27,-31.93,-28.498,-19.73,-22.29,,,-24.39777749,5.6376949395,-23.605,0.4506425896,0.0744796874,-21.5
2.5,3,Maryland,UCLA,-2.5,,-7.01,3,2.07,4.06,1.746,-3.4,-1.955,1.9,1.3,2.3,-3.4,-8.38,0.89,5.5,-8.686557,2.1,-0.7,3.4,3.92,2,4.46,-7.25,-13,0.0254,1.67,,,-1.14,0,-14.57,-5.03,-3.629863443,,-10.76,-8.519,,,,,3.9,-0.7,,,-7,-13,2.79,3.422,-0.28,-10.51,,,-1.86755317,5.3930441394,-0.49,0.4172747187,0.4558090221,3
3.5,3,San Jose St.,Utah St.,11,,9.13,3,8.94,-4.04,3.34,4.17,7.408,0.4,0.01,0.8,1.3,8.09,3.07,2,9.187298,3.3,1,6.11,5.16,4.59,9.43,9.9,13,4.257,11.21,,,2.91,0,4.57,9.83,4.382010617,,10.63,2.299,,,,,3.325,5.9,,,8.4,10,5.76,4.069,3.85,2.2,,,5.2862449636,3.7984114767,4.4760053085,0.5396117884,0.626520335,3
1.5,2.5,LSU,Vanderbilt,-4.5,,4.37,2.5,1.55,-3.35,-4.364,0.65,-0.086,0.01,-1.6,-0.8,0.5,-2.44,-3.22,0.01,10.00254,-3.6,-3.6,-0.54,-0.72,-1.44,-0.32,2.09,3,2.5404,2.65,,,-3.27,0,3.79,1.26,6.206423448,,0.35,-0.8887,,,,,8.32,-0.5,,,0.01,3,-3.46,3.159,-3.79,-6.79,,,0.0305174592,3.5487036131,-0.203,0.4571509925,0.5007456475,2
17.5,17,Washington St.,Virginia,12,,17.52,17,16.76,17.88,18.686,14.68,19.347,13.6,16.9,16.7,11.2,10.06,9.38,1,19.42056,15.5,18.7,17.9,17.07,15.84,24.31,21.76,28,18.7361,18.76,,,15.73,0,26.81,16.98,15.918303067,,17.81,8.9803,,,,,25.25,19.8,,,17.5,16,22.04,17.477,8.71,-2.76,,,16.367243765,6.0926823344,17.2735,0.4892484637,0.8312875634,17
7.5,10,Florida Intl.,Western Kentucky,23.5,15.53,19.14,10,20.48,14.45,20.85,13.36,13.532,13,12.9,13.4,12.1,14.35,16.55,9.5,21.94196,5.1,12.2,15.91,15.7,15.61,18.77,16.54,18,9.7329,13.02,,,12.01,0,17.56,17.47,16.010637613,,11.04,15.6386,,,,,20.275,13.8,,,21.35,15,18.27,23.33,18.4,11.19,,,15.679771734,4.0423211923,15.6386,0.5974043864,0.8298669564,11
-27,-25,Ohio St.,Wisconsin,-26.5,,-28.67,-25,-32.97,-23.2,-17.451,-24.91,-29.449,-25.1,-26.5,-26.6,-28.1,-12.99,-26.69,-15.5,-33.61766,-25.5,-23.3,-22.68,-18.73,-24.79,-31.78,-31.45,-31,-23.4294,-32.15,,,-25.84,0,-38.97,-41.67,-29.44817075,,-20.12,-29.4178,,,,,-20.8,-28,,,-26.068,-27,-33.96,-36.974,-24.37,-18.26,,,-26.76197449,6.2092173718,-26.5,0.4701244687,0.0588334942,-25
