lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-3,-2.5,Air Force,Colorado St.,0.5,0.89,0.56,-2.5,-1.54,-7.33,3.568,-0.96,-3.024,-1.8,-2.3,-2.7,0.4,-1.15,-3.69,11,-1.516693,-4.1,,-0.38,-0.12,2.44,-4.36,-1.02,-5,0.0026,-1.77,,,-4.33,0,1.6649299372,-2.83,-2.69,-0.762278795,,-1.03,0.578,-11.26515427,,,,-5.15,-1.5,-0.390339859,-0.7,-6,-8.82,-5.334,-1.56,0.89,,,-1.409575432,3.2669080505,-1.5,0.5189844253,0.4654776208,-2.5
5,4.5,UTEP,Delaware,14,6.79,4.46,4,1.14,6.23,6.845,5.08,14.086,3.2,2.3,3.2,1.8,9.97,1.7,4.5,3.234444,2.7,,4.61,2.28,8.67,2.75,1.4,-1,2.2379,1.87,,,0.84,0,3.538261479,4.83,1.23,5.926116096,,2.51,5.959,-5.43433193,,,,7.475,3.3,2.6466027776,8.988,4,4.91,-2.365,2.54,15.74,,,4.6019159378,3.9190881896,3.3,0.5017671585,0.6104133747,4.5
3,1,Wake Forest,Duke,0.01,5.67,1.23,1,-3.22,13.99,0.398,2.88,0.158,12.8,6.3,6.2,-0.5,-0.78,3.67,8.5,-2.940924,6.9,,3.33,3.49,3.92,2.37,-0.02,-4,3.9613,0.97,,,2.43,0,3.208033268,-2.42,5.23,0.220908302,,1.04,4.2735,-15.54318308,,,,0.55,4.9,-0.137585498,-2.45,-2,-3.56,2.217,0.54,0.89,,,2.3678414762,4.0034390211,2.217,0.5236886971,0.5572872336,1
-6,-8,Western Mich.,Eastern Mich.,-6.5,-6.05,-7.1,-8,-9.7,-3.54,-5.956,-7.48,-12.005,-5.7,-6.2,-6.9,-9.9,-7.61,-5.68,-4.5,-4.285788,-7.2,,-5.9,-6.48,-7.11,-5.09,-12.49,-10,-3.982,-11.04,,,-4.88,0,-7.070082538,-9.47,-8.82,-4.534977894,,-8.97,-5.1718,7.457531893,,,,-11.25,-7.1,-1.013546392,-12.95,-10,-7.43,-7.657,-4.02,-10,,,-7.377503806,2.4955369939,-7.1,0.5108866965,0.3237158053,-8
2,1,Florida St.,Florida,0.5,-1.8,-2.83,1,-2.6,6.13,5.957,-1.55,2.854,3.7,3.9,4.5,-4,-1.82,4,9,-4.414986,-3.5,,2.41,1.27,2.97,2.68,-5.5,-2,-0.5572,-4.17,,,3.88,0,-3.54751968,-12.48,-2.56,4.464389724,,-3.6,3.3012,16.621141907,,,,-12.85,-0.9,1.353501226,-1.4,-7,8.69,4.304,0.75,18.38,,,0.5528431806,5.611500783,0.5,0.4923625142,0.5130508829,1
-6.5,-7,East Carolina,Florida Atlantic,-8.5,-13.16,-11.48,-7,-5.75,-7.2,-9.743,-10.47,-8.496,-11.1,-10.2,-11.1,-11.3,-7.8,-9.97,-7,-8.334168,-10.2,,-6.54,-7.57,-8.83,-4.11,-13.29,-13,-7.3823,-11.52,,,-8.08,0,-12.12061419,-17.76,-7.73,-5.412368643,,-11.48,-12.5516,-15.90298918,,,,-18.35,-11.3,-1.836548628,-14.0035,-10,-3.98,-5.386,-6.14,-17.26,,,-9.88716797,3.4867781832,-9.97,0.4499183459,0.2722435544,-7
-13,-14,Georgia,Georgia Tech,-8.5,-11.89,-11.53,-13.5,-17.05,-11.09,-12.775,-8.95,-16.496,-9.2,-15.9,-15.9,-18.5,-7.32,-16.52,-10,-13.73296,-17,,-11.08,-9.45,-11.49,-14.49,-13.12,-19,-13.9584,-12.03,,,-15.27,1,-17.60090406,-17.36,-14.49,-19.15108268,,-11.22,-15.0002,-4.884922135,,,,-27.45,-14.9,-3.341783083,-10.15,-7,-21.14,-17.452,-19.01,-6.04,,,-14.18478325,4.2665143533,-14.49,0.49680457,0.1949612773,-14
10.5,7.5,Wyoming,Hawaii,14,9.54,9.69,7.5,8.45,11.4,15.388,5.83,19.236,11.2,10.9,11.6,9.7,12.12,3.76,5,12.24596,5,,10.85,8.71,12.2,12.67,8.03,10,8.4929,8.62,,,8.76,0,10.728405063,8.6,8.31,12.295967961,,5.8,9.6313,17.898206972,,,,10.675,7.6,1.878785562,17.85,6,17.17,13.454,8.6,14.09,,,10.466603411,3.4392766959,10,0.5514680057,0.7395489485,7.5
7,7,Northwestern,Illinois,9.5,10.4,8.98,7,7.86,10.67,5.578,8.53,10.179,8.3,7.5,7,9.8,8.89,9.79,16.5,9.36964,8.2,,10.04,9.35,12.51,8.83,10.19,8,6.3806,9.77,,,6.98,0,11.178424058,6.38,5.75,8.100605055,,10.93,7.8999,10.197054667,,,,6.8,10.7,1.0050146076,12.25,4,7.64,3.53,6.64,13.1,,,8.9742607465,2.36476181,8.89,0.5345096539,0.7112353014,7
-3,-2,Western Kentucky,Jacksonville St.,0.01,-2.96,-2.04,-2.5,-2.71,-0.8,-8.114,-0.66,-2.385,1.9,1.9,2.4,-2.6,-2.37,-2.02,6.5,-0.8709526,-3.7,,-1.63,-2.64,-0.34,-2.6,-4.87,-6,0.4612,-3.59,,,-1.82,0,-0.979065438,1.28,-3.31,-0.418692216,,-2.67,2.765,-4.153109298,,,,1.525,-1.9,-0.561425415,-5.25,-4,-3.43,1.905,-1.69,-2.74,,,-1.447987442,2.7029437874,-1.9,0.5096442929,0.4643121999,-2
-13,-10.5,Utah,Kansas,-15.5,-9.88,-16.24,-12,-19.33,-16.68,-10.019,-13.48,-14.244,-14.8,-15.5,-15.9,-14.6,-8.82,-12.51,-0.5,-18.36229,-15.5,,-14.08,-12.61,-11.84,-20.87,-20.54,-21,-11.0943,-19.74,,,-16.28,0,-18.52674357,-23.32,-20.36,-15.13487226,,-15.45,-11.8913,-19.38139413,,,,-26.7,-15.6,-2.930461911,-15.4,-18,-22.87,-22.701,-14.86,-10.33,,,-15.71957707,4.8186527807,-15.5,0.410913644,0.1725531439,-11.5
17,17,Colorado,Kansas St.,11,14.59,12.88,17,22.9,13.93,5.702,10.57,13.813,12.8,14.8,14,15.3,11.24,13.74,6,19.19604,12.9,,15.89,15.45,14.16,19.83,14.6,19,10.9453,15.7,,,17.4,0,17.222129528,15.86,18.36,15.735796389,,11.99,15.8481,14.791885417,,,,15.45,14.3,0.494939122,14.7,7,18.71,23.04,16.57,15.74,,,14.919547844,3.5892083019,14.8,0.4638909005,0.8194477809,17
-1.5,-2,Kennesaw St.,Liberty,-8,0.21,-6.53,-2,0.37,8.51,-7.981,0.94,-6.397,4.9,5.2,4.4,-5.4,-7.35,8.09,13,-1.84016,2.2,,1.83,3.26,-0.75,2.87,-3.39,-3,-0.9902,-2.6,,,2.99,0,-3.97560327,-0.73,-5.44,-4.21241407,,-2.14,1.8602,-5.491195332,,,,-0.975,1.3,-2.34471945,-11.9,-8,-5.93,-4.603,0.27,-3.4,,,-0.906004547,5.1116439863,-0.975,0.5187722579,0.4784151306,-2
12.5,10,Louisiana-Monroe,Louisiana-Lafayette,14.5,10.85,11.89,9.5,16.11,16.92,6.93,13.52,9.364,12.8,14.2,14.5,16.1,12.54,17.24,16.5,18.45141,7,,16.13,16,14,20.27,16.29,16,11.6366,15.84,,,15.32,0,16.723140673,11.17,14.5,15.350685476,,12.8,15.2235,19.172570387,,,,14.125,13.8,1.423373588,12.4565,10,25.73,20.252,17.35,8.48,,,14.586226568,3.5865132036,14.5,0.5791835036,0.8140423723,11
4.5,-1,Kentucky,Louisville,8.5,3.53,2.22,3,0.25,7.44,4.24,4.87,1.519,2.9,2.5,3.6,1.6,5.56,4.8,19.5,2.400557,6.6,,3.96,2.73,7.38,1.88,-0.27,-5,0.6409,0.6,,,1.66,0,2.194061591,9.68,-0.03,-0.531987913,,3.9,7.7922,4.944328119,,,,0.775,3.6,-0.692553094,7.35,4,-1.64,-2.444,1.75,-8.02,,,3.0765571969,4.4771657027,2.5,0.5700111093,0.5737173732,0
7,10,Georgia Southern,Marshall,8,7.31,8.56,9,11.46,2.48,1.666,8.53,9.666,10.2,8.6,10.1,11.6,7.56,9.61,10.5,11.65771,7.4,,7.62,8.26,6.67,8.48,10.81,9,7.117,11.56,,,6.87,0,12.221211296,12.5,5.57,7.696962454,,8.07,9.7485,20.460202192,,,,17.975,7.9,0.0851919196,7,3,-0.67,5.742,9.88,1.22,,,8.3625739423,3.3633915628,8.48,0.47152304,0.6961664306,10
-14.5,-14,Bowling Green,Massachusetts,-13.5,-14.57,-12.85,-14,-16.32,-14.52,-8.97,-14.57,-25.446,-14.9,-15.2,-15.4,-15.1,-13.54,-16.49,-8.5,-15.28008,-16,,-12.56,-12.81,-13.8,-12.98,-17.24,-22,-12.6445,-16.88,,,-14.41,0,-14.73316048,-15.42,-14.09,-10.98598659,,-11.49,-21.3404,-22.59856082,,,,-3.525,-14.6,-10.97007054,1.071,-13,-10.29,-11.621,-11.99,3.2,,,-13.39218275,5.1687801436,-14.41,0.5104267488,0.2120541064,-14
6,3.5,Navy,Memphis,8.5,9.24,7.45,4.5,6.06,2.14,0.371,7.31,3.323,4.5,7,7,6.8,6.17,9.08,3,10.76909,2.9,,8.12,8.41,4.66,11.88,9.85,8,9.7215,10.56,,,11.46,0,11.928962819,10.46,6.58,6.08136274,,10.51,10.8668,13.242746173,,,,20.175,7.5,-1.271442807,4.2,2,7.21,5.661,8.08,15.41,,,7.9214798861,3.6861281454,7.5,0.5763229202,0.6858972557,4.5
17.5,17,Ball St.,Miami (Ohio),13,16.98,14.7,17.5,21.19,24.89,14.373,15.98,12.572,19.4,19.3,21.8,17.8,13.67,18.91,19,20.49408,16,,18.71,19.15,17.04,21.97,18.66,19,15.1992,18.33,,,17.9,0,18.361819994,17.22,19.73,16.127522371,,14.88,21.3917,14.124733851,,,,17.65,18.4,1.5553722568,17.5,11,21.7,20.941,16.34,15.74,,,18.000008266,2.7014831441,18.33,0.5174675416,0.8672610668,17
