lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
-3.5,-4,Washington St.,Oregon St.,-9.5,,,,-9.96,1.86,,,,,,,,,-4.46,-8,-16.8552,-5.3,,-6.12,-4.04,-8.07,-8.12,-11.71,-13,,-9.66,,,-6.24,0,-3.06,-18.44,-17.1868977,,-9.42,-8.093,-19.60592297,,,,,-4.2,-15.32647685,-24.01214527,,-10,,-14.677,-8.21,-15.76,,,-9.341942982,5.0545454924,-8.21,0.4090548977,0.2881700623,-5
-14.5,-14,Memphis,Rice,-13,,,,-24.74,-15.44,,,,,,,,,-18.98,-10.5,-24.10181,-17.5,,-16.93,-17.95,-16.24,-20.21,-25.07,-28,,-19.77,,,-17.07,0,-14.78,-22.31,-18.11615573,,-18.3,-21.8864,-26.8556469,,,,,-18.9,-24.39814345,-5.350863215,,-17,,-20.693,-16.05,-18.95,,,-19.19542037,4.0667110209,-18.9,0.4107717662,0.1215983903,-15
-10,-11,Miami (Fla.),SMU,-3.5,,,,-9.01,-4.98,,,,,,,,,-3.9,3,-20.17432,-17,,-5.64,-4.51,-6.83,-7.43,-18.53,-17,,-10.62,,,-3.68,0,-11.34,-15.06,-10.07937224,,-12.42,-5.7002,-22.29717156,,,,,-10.4,-16.67764055,-4.191611836,,-9,,-6.854,-6.47,-11.99,,,-9.471821311,5.6675007298,-9.01,0.5260693681,0.2877525012,-11
10.5,11,Wyoming,San Diego St.,11,,,,16.95,10.15,,,,,,,,,7.2,5.5,14.14537,7.7,,10.9,10.43,11.4,11.98,14.87,16,,14.03,,,7.23,0,18.45,14.92,11.352796529,,14.55,9.9462,23.744516445,,,,,11.2,16.75491167,3.5315377376,,13,,9.695,9.15,12.37,,,11.914971128,3.3563549268,11.352796529,0.5159225574,0.7677829424,11
2.5,2.5,Hawaii,San Jose St.,-5,,,,5.43,-0.82,,,,,,,,,3.03,6,-3.559734,2.6,,0.31,2.79,-0.66,-2.25,0.62,1,,2.95,,,-1.34,0,-0.96,-7.96,-0.324127825,,-0.02,3.9509,14.375244635,,,,,0.8,2.49180999,-1.235434625,,-11,,-5.835,2.97,-3,,,0.1285539266,3.4359197279,0.31,0.4588151846,0.5031456391,2
4.5,3.5,Louisiana-Lafayette,South Alabama,6,,,,2.82,0.67,,,,,,,,,3.93,-1.5,3.259262,2.9,,5.03,5.61,4.73,4.83,4.57,3,,5.47,,,4.01,0,9.74,4.66,5.057565347,,4.6,4.9062,-16.21389081,,,,,4.3,7.777019698,-9.538503348,,2,,4.374,4.14,3.38,,,4.3305618818,2.0887237984,4.57,0.514550196,0.6061966209,3.5
-14,-14,Pittsburgh,Stanford,-8.5,,,,-18.66,-14.21,,,,,,,,,-13.27,-9.5,-17.57701,-16.5,,-11.12,-11.21,-8.24,-17.45,-17.32,-20,,-14.36,,,-15.36,0,-17.6,-22.82,-9.315841076,,-15.18,-13.4141,-6.324255536,,,,,-15.3,-13.61162625,-2.233595559,,-20,,-12.96,-9.58,-3.58,,,-13.86554309,4.3157197732,-14.21,0.5023242336,0.2005222887,-14
2,2,North Carolina,Syracuse,9.5,,,,9,13.7,,,,,,,,,3.09,6,9.386459,3.2,,7.51,7.86,10.31,4.37,10.56,9,,12.95,,,4.26,0,0.97,3.31,9.196570472,,10.88,8.4107,4.4712884916,,,,,8.7,12.082560761,13.45654233,,3,,5.584,4.62,19.91,,,8.1744116093,4.135441316,8.7,0.6056199131,0.6902174594,3
-4.5,-4.5,East Carolina,Temple,2.5,,,,-3.41,-4.42,,,,,,,,,-8.14,-9.5,-8.878353,-7,,-3,-4.39,-3.65,-1.95,-7.74,-7,,-3.57,,,-5.68,0,-7.7,-8.26,-8.121662632,,-4.86,-7.1654,-20.59039665,,,,,-5.6,-7.131357104,-3.207966347,,-2,,-3.572,-6.16,-5.03,,,-5.577150909,2.6623098096,-5.68,0.4811821508,0.3649874718,-4.5
4.5,3.5,Oklahoma,Tennessee,2,,,,4.33,3.88,,,,,,,,,5.72,13,-2.224836,2.5,,6.19,5.03,5.55,8.38,1.5,2,,4.05,,,5.08,0,-7.93,8.7,4.255998525,,1.36,0.4452,-12.13299378,,,,,1.6,-1.512802275,-0.329690079,,-1,,5.262,1.86,4.83,,,3.43422241,4.0157982156,4.05,0.4988602814,0.5827568035,3.5
3,2.5,Vanderbilt,Texas,3.5,,,,1.32,7.82,,,,,,,,,12.19,15.5,-0.8318729,4.2,,7.36,8.11,8.33,5.84,-0.34,1,,3.87,,,7.96,0,-1.2,-5.95,1.800783827,,-0.18,8.5341,5.176087018,,,,,6.3,0.878909153,-1.720713969,,-6,,-2.056,8.55,1.35,,,4.1542368032,4.9427317413,3.87,0.5284167973,0.5983048469,2.5
-5,-6.5,James Madison,Texas St.,-7.5,,,,-9.28,-11.5,,,,,,,,,-4.91,3.5,-11.66536,-11.6,,-2.92,-1.9,-4.11,-3.96,-7.99,-8,,-2.29,,,-6.61,0,-10.78,-12.99,-5.669803412,,-5.89,-2.3634,4.025878275,,,,,-6.3,-4.867341858,-4.942745255,,-12,,-8.9,-6.29,-11.7,,,-6.659436211,3.9307511201,-6.3,0.4972357282,0.3424840221,-6.5
-3.5,-3.5,Tulane,Texas-San Antonio,-6.5,,,,-5.19,-4.51,,,,,,,,,-5.47,-2.5,-4.232948,-7,,-2.71,-1.5,-8.41,0.44,-6.48,-12,,-0.04,,,-3.91,0,-3.54,-12.57,-9.823547346,,-6.88,-7.0971,29.175752659,,,,,-3.9,-3.964937247,-7.969904122,,-8,,-8.607,-4.27,-10.83,,,-5.659821304,3.4086055694,-5.19,0.4624724236,0.3641923759,-3.5
7,7,Arkansas St.,Troy St.,12.5,,,,10.66,8.3,,,,,,,,,10.91,4,11.06768,7.6,,10.88,9.83,11.83,12.17,8.58,10,,12.11,,,9.67,0,14.45,9.86,9.034456236,,8.76,9.1845,23.33920109,,,,,10.1,10.835225055,2.2855301192,,7,,11.189,11.62,10.05,,,10.207634452,1.9934222651,10.1,0.5560409103,0.7374592211,8
5,5.5,New Mexico,UNLV,9.5,,,,1.14,10.11,,,,,,,,,9.79,10.5,-0.20298,3.7,,9.38,8.24,12.37,8.57,-1.78,1,,1.49,,,7.63,0,10.31,-7.85,2.947921431,,-0.24,5.4621,-14.30250915,,,,,5.4,-0.95265377,3.2039018616,,3,,3.848,5.86,4.83,,,4.8420955065,4.9304880967,5.4,0.4886890622,0.6141867245,5.5
7,7.5,Cincinnati,Utah,7.5,,,,20.14,9.04,,,,,,,,,10.5,5,15.96955,7.7,,10.24,11.34,8.18,13.28,17.38,24,,19.9,,,8.66,0,16.98,9.76,12.305604617,,13.38,10.0591,12.107352879,,,,,12.3,19.791792849,1.454493166,,3,,11.247,13.12,4.83,,,12.504121899,4.9594366564,11.34,0.5853594249,0.7731150229,8.5
-10.5,-10,Louisville,Virginia Tech,-10.5,,,,-6.21,-14.31,,,,,,,,,-9.99,-4,-17.03462,-16,,-8.62,-6.44,-12.86,-9,-13.24,-13,,-12.71,,,-7.6,0,-18.13,-12.74,-16.69923245,,-10.07,-7.5455,-42.30376252,,,,,-12.2,-14.86982034,-5.035204061,,-15,,-12.407,-8.94,-11.41,,,-11.46104691,3.6494475117,-12.2,0.4746344198,0.2416556421,-10
8.5,8.5,New Mexico St.,Western Kentucky,15.5,,,,9.01,10.08,,,,,,,,,14.07,11,7.715372,11.4,,13.89,12.43,14.28,16.8,10.08,10,,10,,,10.65,0,10.24,11.12,8.4821960574,,9.04,8.4123,14.881896895,,,,,10.5,7.18129104,19.12923003,,8,,2.399,8.56,11.79,,,10.585206364,2.970337412,10.24,0.5363312354,0.7430998297,9
7,4.5,Central Mich.,Western Mich.,2,,,,9.79,5.05,,,,,,,,,6.32,9,7.265581,2.5,,8.31,9.24,5.44,11.34,12.21,10,,9.27,,,6.53,0,12.27,1.26,3.337279008,,9.55,8.6817,6.7839457915,,,,,6.1,10.736749313,-1.512532611,,2,,5.676,6.99,5.41,,,7.3710923728,3.0954853276,7.265581,0.5499259671,0.6750923968,5
